ID,Title,Description
P24,Интерфейс арқылы өтініш,"Барлық құжаттарды дайындап, оларды DPG веб-сайтындағы нұсқауларға сәйкес жіберіңіз."
P25,Көмек алу үшін DPG кеңсесіне хабарласыңыз,"Егер олар көмектесе алса, біз мұны DPG кеңсесінің көмегімен жасай аламыз."
P26,Тек қана SDG сәйкестігіне жүгініңіз,"Сіз өніміңіздің Тұрақты Даму Мақсаттарына сәйкес келетіндігін тексердіңіз. Олай болса, неге алаңдайсыз? Ол әлі де жұмыс істейді."
P27,DPG көрсеткіштерін тексеру,"Сізде чек-лист бар, сондықтан сіз барлық 9 көрсеткіштен өтіп, өтінішіңізді дұрыс дайындайсыз."
P28,Релизтік маркетингтік компаниясы, Сіздің командаңыз толығымен релизге арналған маркетингтік науқанға бағытталған. Техникалық жағы екінші орынға шығады.
P29,Релизтік іс-шара,Аудиторияны қызықтыру үшін тек бітіру кешін өткізіңіз. Олар трансляцияны көреді және сіздің өніміңізді пайдаланады.
P30,Релизге арналған біршама дайындық,"Сізде бәрін жасауға уақыт жеткіліксіз екені анық, бірақ сіз негізгі мәселелерді шешіп, науқанды лайықты деңгейде дайындай аласыз."
P31,Релизге толық дайындық,"Сіздің командаңыз бәріне назар аудара отырып, шығарылымда жұмыс істейді. Бұл уақытты алады, бірақ сізде бар болғандықтан, сіз оған қол жеткізе аласыз."
P32,Тек қажетті қолдау,"Бізде толық қолдау үшін жеткілікті ресурстар жоқ, сондықтан біз тек қажетті заттарды ғана жасаймыз."
P33,Клиенттерге телефон және электрондық пошта арқылы қолдау көрсету,"Біз клиенттерге телефон және электрондық пошта арқылы қолдау көрсетеміз."""
P34,Liveops-пен қолдау,"Біз қолдауды ұйымдастырып қана қоймай, клиенттеріміз үшін іс-шараларды үнемі өткіземіз (LiveOPS)."
P35,Аутсорсингтік қолдау,Бізге клиенттерге қолдау көрсету үшін біздің команданың қажеті жоқ. Мұны біз үшін жасау үшін аутсорсингтік компанияны жалдайық!
